time|deviceName|process|description|processName|timeWindow|numberOfOccurrence|processId
01:47:50|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12975+AF0-| Service exited with abnormal code: 78||||
01:49:50|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12976+AF0-| Could not find uid associated with service: 0: Undefined error: 0 501||||
01:49:50|BBAOMACBOOKAIR2|syslogd+AFs-113+AF0-| ASL Sender Statistics||||
01:49:50|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12976+AF0-| Service exited with abnormal code: 78||||
01:51:53|BBAOMACBOOKAIR2|xpcproxy+AFs-12979+AF0-| libcoreservices: +AF8-dirhelper+AF8-userdir: 557: bootstrap+AF8-look+AF8-up returned (ipc/send) invalid destination port||||
01:53:50|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12980+AF0-| Could not find uid associated with service: 0: Undefined error: 0 501||||
01:53:50|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12980+AF0-| Service exited with abnormal code: 78||||
01:57:50|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12992+AF0-| Could not find uid associated with service: 0: Undefined error: 0 501||||
01:57:50|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12992+AF0-| Service exited with abnormal code: 78||||
02:01:21|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-13002+AF0-| Could not find uid associated with service: 0: Undefined error: 0 501||||
02:01:21|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-13002+AF0-| Service exited with abnormal code: 78||||
02:01:21|BBAOMACBOOKAIR2|syslogd+AFs-113+AF0-| ASL Sender Statistics||||
02:05:21|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-13003+AF0-| Could not find uid associated with service: 0: Undefined error: 0 501||||
02:05:21|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-13003+AF0-| Service exited with abnormal code: 78||||
02:07:15|BBAOMACBOOKAIR2|(com.apple.xpc.launchd.domain.pid.mdmclient.13012| Failed to bootstrap path: path +AD0- /usr/libexec/mdmclient, error +AD0- 108: Invalid path||||
02:07:21|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-13017+AF0-| Could not find uid associated with service: 0: Undefined error: 0 501||||
02:07:21|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-13017+AF0-| Service exited with abnormal code: 78||||
02:09:21|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-13021+AF0-| Could not find uid associated with service: 0: Undefined error: 0 501||||
02:09:21|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-13021+AF0-| Service exited with abnormal code: 78||||
02:13:21|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-13027+AF0-| Could not find uid associated with service: 0: Undefined error: 0 501||||
02:13:21|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-13027+AF0-| Service exited with abnormal code: 78||||
02:13:21|BBAOMACBOOKAIR2|syslogd+AFs-113+AF0-| ASL Sender Statistics||||
